"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Council Resolution of 23 November 1995 on the Green Paper For a European Union Energy Policy'","","31995Y1207(03)","EU publication, European Union, cooperation policy, economic policy, energy policy","Energy","Energy, General principles and programmes, General","1995-11-23",
"Implementing Agreement between the European Atomic Energy Community represented by the Commission of the European Communities and Atomic Energy of Canada Limited designated as implementing agent by the Government of Canada on the involvement of Canada in the European Atomic Energy Community contribution to the engineering design activities (EDA) for the International Thermonuclear Experimental Reactor (ITER)","","21995A0906(02)","nuclear fusion, cooperation agreement (EU), scientific cooperation, Canada, nuclear research, nuclear reactor, technical cooperation","Research and training, Nuclear common market, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, North America","1995-07-25",
"Resolution of ECSC Consultative Committee on the Green Paper for a European Union energy policy (Text with EEA relevance)","","31995Y0811(01)","ECSC, European Union, energy policy, energy market, EU publication","Energy","Energy, General principles and programmes, General","1995-06-28",
"95/356/Euratom: Commission Decision of 28 June 1995 concerning the conclusion of the Implementing Agreement between the European Atomic Energy Community, represented by the Commission of the European Communities, and Atomic Energy of Canada Limited designated as implementing agent by the Government of Canada on the involvement of Canada in the European Atomic Energy Community contribution to the Engineering Design Activities (EDA) for the International Thermonuclear Experimental Reactor (ITER), by the Commission, on behalf of the Community","","31995D0356","framework agreement, EAEC, scientific cooperation, intellectual property, nuclear reactor, Canada","External relations, Nuclear common market, Research and training","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, North America, Nuclear research","1995-06-28",
"95/172/Euratom: Opinion of the Commission of 2 May 1995 concerning the plan for the disposal of radioactive waste from the 'TU5' Basic Nuclear Facility at Pierrelatte (France) in accordance with Article 37 of the Euratom Treaty (Only the French text is authentic)","","31995A0172","transfrontier pollution, radioactive effluent, nuclear power station, radioactive pollution, Rhône-Alpes, storage of waste","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","1995-05-02",
"Final Act of the Conference on the European Energy Charter - Annex 1: The Energy Charter Treaty - Annex 2: Decisions with respect to the Energy Charter Treaty","","21994A1231(52)","EAEC, European charter, energy policy, ECSC, environmental policy, accession to an agreement","Energy, Provisions under Article 235 EEC, External relations, Taxation, Freedom of establishment, Commercial policy, Environment, Internal market - Principles","Energy, General principles and programmes, General","1994-12-17",
"94/995/ECSC: Commission Decision of 3 November 1994 ruling on financial measures by the United Kingdom in respect of the coal industry in the 1994/95 and 1995/96 financial year (Text with EEA relevance)","","31994D0995","coal industry, United Kingdom, industrial restructuring, environmental protection, State aid","Competition, Hard coal, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1994-11-03",
"Final Act of the European Energy Charter Conference - Statement submitted by the European Communities to the Secretariat of the Energy Charter pursuant to Article 26(3)(b)(ii) of the Energy Charter Treaty","","21994A1231(51)","EAEC, energy policy, ECSC, European charter, environmental policy, accession to an agreement","External relations, Energy, Environment","Energy, General principles and programmes, General","1994-12-17",
"Final Act of the Conference on the European Energy Charter - Annex 3: Energy Charter Protocol on energy efficiency and related environmental aspects","","21994A1231(53)","European charter, environmental policy, accession to an agreement, EAEC, energy policy, ECSC","Freedom of establishment, Commercial policy, Taxation, Internal market - Principles, Environment, Provisions under Article 235 EEC, External relations, Energy","Energy, General principles and programmes, General","1994-12-17",
"94/1042/ECSC: Commission Decision of 13 December 1994 authorizing the grant by the United Kingdom of aid to the coal industry (Text with EEA relevance)","","31994D1042","application of EU law, State aid, coal industry, United Kingdom, regional aid, investment aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1994-12-13",
"94/955/Euratom: Commission Decision of 21 December 1994 relating to a procedure pursuant to Article 83 of the Euratom Treaty (XVII-004 - Escuela Técnica Superior de Ingenieros Industriales de la Universidad Politécnica de Madrid) (Only the Spanish text is authentic)","","31994D0955","application of EU law, higher education, nuclear power station, Spain, nuclear safety, EAEC Treaty","Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","1994-12-21",
"94/956/Euratom: Commission Recommendation of 21 December 1994 on the application of Euratom safeguards in Spain (Only the Spanish text is authentic)","","31994H0956","exchange of information, Spain, nuclear safety, EAEC Treaty, higher education, nuclear power station","Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","1994-12-21",
"94/833/Euratom: Opinion of the Commission of 14 December 1994 concerning the plan for the disposal of radioactive waste from the Chooz B nuclear power station (France) in accordance with Article 37 of the Euratom Treaty (Only the French text is authentic)","","31994A0833","waste disposal, health risk, frontier region, radioactive waste, France, nuclear power station","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","1994-12-14",
"94/747/Euratom: Commission Opinion of 7 November 1994 concerning the plan for the disposal of radioactive waste from the Konrad radioactive waste repository at Salzgitter (Germany) in accordance with Article 37 of the Euratom Treaty (Only the German text is authentic)","","31994A0747","Germany, storage of waste, EC opinion, EAEC Treaty, radioactive effluent, transfrontier pollution","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","1994-11-07",
"94/574/ECSC: Commission Decision of 1 June 1994 authorizing the grant by the United Kingdom of aid to the coal industry for the last quarter of the 1993/94 financial year and for the 1994/95 financial year (Only the English text is authentic)","","31994D0574","State aid, industrial restructuring, United Kingdom, modernisation of industry, coal industry","State aids, Competition, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1994-06-01",
"94/573/ECSC: Commission Decision of 1 June 1994 authorizing the granting of aid by Germany to the coal industry in 1994 (Only the German text is authentic)","","31994D0573","State aid, coal industry, Germany, insurance claim, production capacity","State aids, Competition, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1994-06-01",
"94/285/Euratom: Commission Decision of 21 February 1994 relating to a procedure in application of the second paragraph of Article 53 of the Euratom Treaty (Only the German text is authentic)","","31994D0285","EAEC Treaty, market enlargement, Germany, Euratom Supply Agency, contract, uranium","Supply agency, Nuclear common market","Energy, Nuclear energy, Fuel supplies","1994-02-21",
"94/479/EC: Council Decision of 29 March 1994 on the conclusion of an Agreement in the form of Exchanges of Letters between the European Community and the European Bank for Reconstruction and Development on the contribution of the Community to the Nuclear Safety Account","","31994D0479","nuclear safety, energy policy, agreement (EU), nuclear power station, Central and Eastern Europe, World Bank","Provisions under Article 235 EEC, Nuclear common market, External relations, Safety at work and elsewhere","External relations, Energy, Action in favour of countries in transition, Nuclear energy, European Bank for Reconstruction and Development, Safeguards","1994-03-29",
"Agreement in the form of exchanges of letters between the European Community and the European Bank for Reconstruction and Development on the contribution of the Community to the nuclear safety account","Unofficial translation","21994A0803(01)","EBRD, agreement (EU), nuclear safety, nuclear policy, the EU's international role, international cooperation","Provisions under Article 235 EEC, Nuclear common market, External relations","External relations, Energy, Action in favour of countries in transition, Nuclear energy, European Bank for Reconstruction and Development, Safeguards","1994-04-27",
"94/174/Euratom: Commission Opinion of 7 March 1994 concerning the plan for the disposal of radioactive waste from the Melox nuclear fuel fabrication plant at the Marcoule nuclear establishment (France) in accordance with Article 37 of the Euratom Treaty (Only the French text is authentic)","","31994A0174","storage of waste, nuclear safety, radioactive effluent, nuclear power station, Languedoc-Roussillon, nuclear fuel","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","1994-03-07",
"Commission Decision of 19 July 1993 on a procedure for the application of the second paragraph of Article 53 of the EAEC Treaty (Only the Portuguese text is authentic)","","31993D0428","uranium, Portugal, Euratom Supply Agency, application of EU law, EAEC Treaty, market enlargement","Nuclear common market","Energy, Nuclear energy, Fuel supplies","1993-07-19",
"Council Regulation (Euratom) No 1493/93 of 8 June 1993 on shipments of radioactive substances between Member States","","31993R1493","customs formalities, nuclear safety, transport of dangerous goods, intra-EU transport, radioactive waste, radioactive materials","Nuclear common market, Public health, Environment","Environment, consumers and health protection, Environment, consumers and health protection, Energy, Environment, Health protection, Nuclear energy, Pollution and nuisances, Safeguards, Nuclear safety and radioactive waste","1993-06-08",
"93/66/ECSC: Commission Decision of 25 November 1992 concerning financial measures by Germany in respect of the coal industry in 1990, 1991 and 1992 and also additional financial aid for the coal industry in 1989 and 1990 (Only the German text is authentic)","","31993D0066","coal industry, Germany, aid to industry, State aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1992-11-25",
"Resolution of the European Coal and Steel Community (ECSC) Consultative Committee towards a coal policy in the internal market","","31993Y0120(01)","coal industry, production capacity, coalmining policy, environmental protection, single market","Coal, Steel industry, Internal market - Principles","Energy, Industrial policy and internal market, Coal, Industrial policy: sectoral operations, Coal products, Other industrial sectors","1992-11-19",
"92/537/Euratom: Commission Opinion of 9 November 1992 concerning the plan for the disposal of radioactive waste from the Sizewell B Nuclear Power Station (United Kingdom) in accordance with Article 37 of the Euratom Treaty (Only the English text is authentic)","","31992A0537","United Kingdom, EC opinion, storage of waste, radioactive effluent, radioactive pollution, nuclear power station","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","1992-11-09",
"Council Resolution of 18 June 1992 on the technological problems of nuclear safety","","31992Y0708(02)","nuclear safety, environmental protection, civil defence, technological change","Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Safeguards","1992-06-18",
"92/275/Euratom: Council Decision of 29 April 1992 adopting a supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community (1992-1995)","","31992D0275","nuclear safety, research programme, nuclear energy, Joint Research Centre, nuclear reactor","Nuclear common market, Research and technological development","Energy, Nuclear energy, Nuclear research","1992-04-29",
"Resolution of the Consulative Committee of the European Coal and Steel Community concerning the Commission communication to the Council on a Community strategy to limit carbon dioxyde emissions and to improve energy efficiency (CO2/energy tax)","","31992Y0519(01)","environmental protection, greenhouse gas, environmental monitoring, environmental tax, energy policy","Energy, Industry","Energy, General principles and programmes, Rational utilisation and conservation of energy","1992-04-03",
"92/254/Euratom: Commission Opinion of 14 April 1992 concerning the plan for the disposal of radioactive waste of the 'Quercus' uranium ore processing plant of Enusa in Saelices el Chico (Spain) in accordance with Article 37 of the Euratom Treaty","","31992A0254","Castile-Leon, impact study, uranium, radioactive pollution, radioactive waste","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","1992-04-14",
"92/236/Euratom: Commission Opinion of 1 April 1992 concerning the plan to release radioactive effluents from the Covra NV radioactive waste processing and storage facility at Sloe (Netherlands), pursuant to Article 37 of the Euratom Treaty","","31992A0236","Netherlands, industrial waste, radioactive effluent, Belgium, radioactive pollution","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","1992-04-01",
"92/194/Euratom: Commission Decision of 4 March 1992 relating to a procedure in application of Article 83 of the Euratom Treaty (XVII-002 - UKAEA Dounreay) (Only the English text is authentic)","","31992D0194","application of EU law, waste management, radioactive waste, uranium, United Kingdom, nuclear safety","Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Safeguards","1992-03-04",
"91/141/ECSC: Commission Recommendation of 31 January 1991 concerning coal statistics","","31991H0141","EU statistics, coal, disclosure of information, energy market, production statistics","Information and verification, Steel industry","Industrial policy and internal market, Regional policy and coordination of structural instruments, Energy, Industrial policy: general, programmes, statistics and research, Statistics, Coal, Programmes and statistics, Other measures relating to coal","1991-01-31",
"Council Directive 90/653/EEC of 4 December 1990 laying down amendments for the purpose of implementing in Germany certain Community Directives relating to statistics on the carriage of goods and statistics on gas and electricity prices","","31990L0653","carriage of goods, regional statistics, disclosure of information, German Democratic Republic, unification of Germany, price of energy","Information and verification, Consumer protection, Energy, Transport, Integration of the German Democratic Republic (GDR)","Environment, consumers and health protection, Transport policy, Energy, Consumers, Inland transport, General principles and programmes, Protection of economic interests, Market operation, General, Market monitoring","1990-12-04",
"90/413/Euratom: Commission Decision of 1 August 1990 relating to a procedure in application of Article 83 of the Euratom Treaty (XVII-001 - ANF Lingen) (Only the German text is authentic)","","31990D0413","nuclear energy, Germany, nuclear fuel, uranium, sanction (EU), radioactive waste","Energy, Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","1990-08-01",
"89/476/Euratom: Commission Opinion of 20 July 1989 concerning the Penly nuclear power station, Units 1 and 2 (France) (Only the French text is authentic)","","31989A0476","nuclear power station, France, radioactive effluent","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","1989-07-20",
"89/354/Euratom: Commission Opinion of 23 May 1989 concerning the Golfech, units 1 and 2 (France) nuclear power station (Only the French text is authentic)","","31989A0354","nuclear power station, France, radioactive effluent","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","1989-05-23",
"89/340/EEC: Council Decision of 3 May 1989 concerning work for third parties performed by the Joint Research Centre relevant to the European Economic Community","","31989D0340","research policy, Joint Research Centre, energy research, industrial cooperation","Research and training, Nuclear common market, Provisions under Article 235 EEC","Energy, Nuclear energy, Nuclear research","1989-05-03",
"89/149/Euratom: Commission Decision of 10 February 1989 concerning the conclusion of an Agreement for cooperation between the European Atomic Energy Community and the Government of Japan in the field of controlled thermonuclear fusion, by the Commission for and on behalf of the Community","","31989D0149","nuclear power station, nuclear fusion, nuclear industry, Japan, cooperation agreement","Research and training, Non-trade agreement, Nuclear common market, External relations","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Asian countries, Other measures relating to nuclear energy","1989-02-10",
"Agreement for cooperation between the European Atomic Energy Community and the Government of Japan in the field of controlled thermonuclear fusion","","21989A0228(01)","scientific cooperation, cooperation agreement (EU), nuclear fusion, nuclear energy, EAEC, Japan","Cooperation, Nuclear common market, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, Asian countries","1989-02-20",
"89/82/Euratom: Commission Opinion of 16 December 1988 concerning the nuclear power-station Trillo I (Spain) (Only the Spanish text is authentic)","","31989A0082","radioactive effluent, nuclear power station, Spain","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","1988-12-16",
"88/611/EEC: Council Recommendation of 8 November 1988 to promote cooperation between public utilities and auto- producers of electricity","","31988H0611","industrial cooperation, renewable energy, economic independence, electricity supply, public service, electrical energy","Energy, Provisions under Article 235 EEC","Energy, Electricity","1988-11-08",
"Resolution of the ECSC Consultative Committee on the review of Member States' energy policies and of the progress made towards meeting the Community's 1995 energy objectives","","31988Y1027(01)","substitute fuel, ECSC loan, energy policy, hydrocarbon","Fuels, Energy, Nuclear common market","Energy, General principles and programmes, General","1988-10-04",
"Council Resolution of 29 June 1988 concerning the activities to be undertaken by the Joint Research Centre (JRC)","","31988Y0727(01)","research programme, research policy, Joint Research Centre, scientific research","Research and training, Nuclear common market","Energy, Nuclear energy, Nuclear research","1988-06-29",
"88/229/Euratom: Commission Decision of 26 February 1988 concerning the conclusion of an Agreement of participation in the International Thermonuclear Experimental Reactor (ITER) Conceptual Design Activities, by the European Atomic Energy Community, with Japan, the Union of Soviet Socialist Republics, and the United States of America, by the Commission for and on behalf of the Community","","31988D0229","Japan, USSR, cooperation agreement, nuclear fusion, United States, nuclear reactor","Non-trade agreement, Nuclear common market, External relations, Research and training","Energy, External relations, Nuclear energy, Multilateral relations, Nuclear research, Other spheres of multilateral cooperation","1988-02-26",
"87/297/Euratom: Council Decision of 18 May 1987 approving an amendment of the Statutes (articles of association) of the Joint Undertaking 'Société d'énergie nucléaire franco-belge des Ardennes' (SENA)","","31987D0297","nuclear power station, France, Belgium, EAEC Joint Undertaking, nuclear industry","Nuclear common market, Joint undertakings","Energy, Nuclear energy, Power stations and joint undertakings","1987-05-18",
"Council Resolution of 26 November 1986 on a Community orientation to develop new and renewable energy sources","","31986Y1209(01)","renewable energy, industrial cooperation, energy resources, EU programme, energy policy, development plan","Energy","Energy, General principles and programmes, General","1986-11-26",
"87/105/Euratom: Commission Decision of 6 November 1986 concerning the conclusion of an Agreement for cooperation in the field of controlled thermonuclear fusion between the European Atomic Energy Community and the United States Department of Energy by the Commission for and on behalf of the said Community","","31987D0105","cooperation agreement, ratification of an agreement, EAEC, nuclear fusion, United States, energy policy","External relations, Nuclear common market, Cooperation","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, North America, Nuclear research","1986-11-06",
"Resolution of the ECSC Consultative Committee on the research programmes in the coal mining and the iron and steel industries","","31986Y1014(01)","coal industry, social analysis, research programme, industrial research, EU programme, iron and steel industry","Loans and subsidies, Safety at work and elsewhere","Freedom of movement for workers and social policy, Energy, Social policy, Coal, Working conditions, Other measures relating to coal, Safety at work","1986-06-20",
"Council Resolution of 16 September 1986 concerning new Community energy policy objectives for 1995 and convergence of the policies of the Member States","","31986Y0925(01)","energy market, price of energy, energy consumption, energy resources, energy supply, energy policy","Energy","Energy, General principles and programmes, General","1986-09-16",
"Council Resolution of 15 September 1986 on improving energy efficiency in industrial firms in the Member States","","31986Y0924(01)","energy saving, energy use, energy policy, price of energy, industrial enterprise","Energy, Industry, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy","1986-09-15",
"86/28/Euratom: Council Decision of 20 January 1986 approving the conclusion by the Commission of a Memorandum of Understanding between the European Atomic Energy Community and the Government of Canada concerning cooperation in the field of fusion research and development","","31986D0028","cooperation agreement, ratification of an agreement, EAEC, nuclear fusion, scientific cooperation, Canada","Cooperation, Research and training, Non-trade agreement, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, North America","1986-01-20",
"Agreement in the form of an exchange of letters between the European Atomic Energy Community (Euratom) and the Government of Canada, amending the Agreement between the European Atomic Energy Community (Euratom) and the Government of Canada of 6 October 1959 for cooperation in the peaceful uses of atomic energy - Agreed minutes to the Agreement in the form of an exchange of letters between the European Atomic Energy Community (Euratom) and the Government of Canada, amending the Agreement between the European Atomic Energy Community (Euratom) and the Government of Canada of 6 October 1959 for cooperation in the peaceful uses of atomic energy","","21985A0731(06)","energy cooperation, Canada, cooperation agreement (EU), peaceful use of energy, nuclear policy, nuclear energy","External relations, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, North America, Other measures relating to nuclear energy","1985-06-21",
"Council Resolution of 15 March 1985 on the rational use of energy in the building sector","","31985Y0326(01)","thermal equipment, energy consumption, project of common interest, energy use, building","Energy, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy","1985-03-15",
"Council Resolution of 15 January 1985 on the improvement of energy-saving programmes in the Member States","","31985Y0122(01)","energy saving, energy policy, energy use, EU programme, price of energy","Conjunctural policy, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","1985-01-15",
"84/510/EEC: Commission Decision of 17 October 1984 granting financial assistance within the framework of the special energy development programme (Only the English text is authentic)","","31984D0510","electrical energy, financial aid, project of common interest, United Kingdom, power plant","Energy, Financial provisions","Energy, General principles and programmes, General","1984-10-17",
"84/511/EEC: Commission Decision of 17 October 1984 granting financial assistance within the framework of the special energy development programme (Only the German text is authentic)","","31984D0511","Germany, power plant, balance of payments assistance, electrical energy, project of common interest","Energy, Financial provisions","Energy, General principles and programmes, General","1984-10-17",
"84/455/ECSC: Commission Decision of 6 September 1984 approving aids from the Federal Republic of Germany to the coal-mining industry during 1983 (Only the German text is authentic)","","31984D0455","Germany, State aid, coal mining","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1984-09-06",
"84/456/ECSC: Commission Decision of 6 September 1984 approving aids from the United Kingdom for the coal-mining industry during the 1983/84 financial year (Only the English text is authentic)","","31984D0456","United Kingdom, State aid","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1984-09-06",
"84/454/ECSC: Commission Decision of 6 September 1984 approving aids from the French Republic to the coal-mining industry during 1983 and approving additional aids from the French Republic to the coal-mining industry during 1982 (Only the French text is authentic)","","31984D0454","France, State aid","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1984-09-06",
"84/457/ECSC: Commission Decision of 6 September 1984 approving aids from the Kingdom of Belgium to the coal-mining industry during 1983 (Only the French and Dutch texts are authentic)","","31984D0457","coal mining, State aid","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1984-09-06",
"Council Regulation (EEC) No 1890/84 of 26 June 1984 introducing special measures of Community interest relating to energy strategy","","31984R1890","power plant, United Kingdom, Germany, project of common interest, energy policy, balance of payments assistance","Energy, Provisions under Article 235 EEC","Energy, General principles and programmes, General","1984-06-26",
"Resolution of the ECSC Consultative Committee on the Commission's review of Member States' energy policies","","31984Y0620(02)","nuclear energy, coal, energy policy, ECSC","Energy, Fuels","Energy, General principles and programmes, General","1984-05-17",
"Resolution of the European Coal and Steel Community Consultative Committee on the working programme on solid fuels","","31983Y0716(02)","fuel, action programme, energy consumption, sales aid, coal, coalmining policy","Fuels","Energy, Coal, Promotion of the coal industry","1983-06-22",
"83/250/EEC: Council Recommendation of 24 May 1983 to the Member States concerning the encouragement of investment in the use of solid fuel in industry","","31983H0250","industrial building, substitute fuel, energy policy, energy use, environmental protection, investment promotion","Provisions implementing Article 95 - ECSC, Investments, Energy, Industry","Energy, General principles and programmes, General","1983-05-24",
"83/251/EEC: Council Recommendation of 24 May 1983 to the Member States concerning the encouragement of investment in the use of solid fuel in public buildings and in district heating systems","","31983H0251","substitute fuel, energy policy, energy use, environmental protection, investment promotion, public building","Investments, Energy, Provisions under Article 235 EEC","Energy, General principles and programmes, General","1983-05-24",
"83/230/EEC: Council Recommendation of 21 April 1983 on the methods of forming natural gas prices and tariffs in the Community","","31983H0230","energy use, fixing of prices, price of energy, common price policy, natural gas","Energy, Financial provisions, Provisions implementing Article 95 - ECSC","Energy, Oil and gas, Other measures relating to oil or gas","1983-04-21",
"Council Regulation (EEC) No 625/83 of 15 March 1983 establishing specific measures of Community interest relating to energy strategy","","31983R0625","United Kingdom, Germany, energy resources, energy policy, development plan","Financial provisions, Energy, Provisions under Article 235 EEC","Energy, General principles and programmes, General","1983-03-15",
"82/307/ECSC: Commission Decision of 28 April 1982 approving aids from the United Kingdom for the coal-mining industry during the 1981/82 financial year (Only the English text is authentic)","","31982D0307","coal industry, aid to industry, United Kingdom, State aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1982-04-28",
"82/304/ECSC: Commission Decision of 28 April 1982 approving aids from the Federal Republic of Germany to the coal-mining industry during 1981 (Only the German text is authentic)","","31982D0304","aid to industry, coal industry, State aid, German Democratic Republic","Competition, Hard coal, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1982-04-28",
"82/305/ECSC: Commission Decision of 28 April 1982 approving aids from the French Republic to the coal-mining industry during 1981 (Only the French text is authentic)","","31982D0305","State aid, France, aid to industry, coal industry","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1982-04-28",
"82/306/ECSC: Commission Decision of 28 April 1982 approving aids from the Kingdom of Belgium to the coal-mining industry during 1981 (Only the French and Dutch texts are authentic)","","31982D0306","coal industry, investment aid, Belgium, mining of ore, State aid","Fuels, State aids","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1982-04-28",
"Agreement in the form of an Exchange of Letters between the European Atomic Energy Community (Euratom) and the Government of Canada intended to replace the 'Interim Arrangement concerning enrichment, reprocessing and subsequent storage of nuclear material within the Community and Canada' constituting Annex C of the Agreement in the form of an Exchange of Letters of 16 January 1978 between Euratom and the Government of Canada","","21981A1218(05)","radioactive waste, agreement (EU), Canada, nuclear energy, nuclear policy, storage of waste, peaceful use of energy","External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Other measures relating to nuclear energy, North America","1981-12-18",
"81/717/EEC: Commission Decision of 23 July 1981 on a proposal by the Netherlands Government to grant aid for investment in the petrochemical industry (Only the Dutch text is authentic)","","31981D0717","investment, Netherlands, petrochemicals","Competition, Energy, State aids","Competition policy, Energy, State aids and other subsidies, Oil and gas, Other measures relating to oil or gas","1981-07-23",
"81/646/ECSC: Commission Decision of 10 July 1981 approving aids from the Federal Republic of Germany to the coal-mining industry during 1980 (Only the German text is authentic)","","31981D0646","investment aid, aid to industry, Germany, coal industry, State aid, minimum stock","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1981-07-10",
"81/649/ECSC: Commission Decision of 10 July 1981 approving aids from the United Kingdom for the coal-mining industry during the 1980/81 financial year (Only the English text is authentic)","","31981D0649","industrial restructuring, State aid, coal industry, aid to industry, United Kingdom","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1981-07-10",
"81/648/ECSC: Commission Decision of 10 July 1981 approving aids from the French Republic to the coal-mining industry during 1980 (Only the French text is authentic)","","31981D0648","financial loss, coal industry, aid to industry, France, State aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1981-07-10",
"81/647/ECSC: Commission Decision of 10 July 1981 approving aids from the Kingdom of Belgium to the coal-mining industry during 1980 (Only the French and Dutch texts are authentic)","","31981D0647","Belgium, industrial project, State aid, coal industry, aid to industry, investment aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1981-07-10",
"80/1282/ECSC: Commission Decision of 7 November 1980 approving aids from the United Kingdom for the coal-mining industry during the 1979/80 financial year and approving additional aids from the United Kingdom for the coal-mining industry during the 1978/79 financial year (Only the English text is authentic)","","31980D1282","marketing, State aid, coal industry, principle of additionality, United Kingdom","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1980-11-07",
"80/1279/ECSC: Commission Decision of 7 November 1980 approving aids from the Federal Republic of Germany to the coal-mining industry during 1979 (Only the German text is authentic)","","31980D1279","principle of additionality, coal industry, marketing, German Democratic Republic, State aid","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1980-11-07",
"80/1280/ECSC: Commission Decision of 7 November 1980 approving aids from the French Republic to the coal-mining industry during 1979 and approving additional aids from the French Republic to the coal-mining industry during 1978 (Only the French text is authentic)","","31980D1280","coal industry, principle of additionality, France, marketing, State aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1980-11-07",
"80/1281/ECSC: Commission Decision of 7 November 1980 approving aids from the Kingdom of Belgium to the coal-mining industry during 1979 (Only the Dutch and French texts are authentic)","","31980D1281","coal industry, control of State aid, State aid, Belgium","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1980-11-07",
"Council Resolution of 9 June 1980 concerning new lines of action by the Community in the field of energy saving","","31980Y0618(02)","energy consumption, EU programme, action programme, energy saving, energy use","Energy, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy","1980-06-09",
"Council Resolution of 18 February 1980 on fast breeder reactors","","31980Y0229(04)","environmental protection, energy supply, peaceful use of energy, nuclear safety, energy demand, breeder reactor","Environment, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Nuclear research","1980-02-18",
"79/23/ECSC: Commission Decision of 7 December 1978 approving aids from the United Kingdom for the coal-mining industry during the coal marketing year 1978/79 (Only the English text is authentic)","","31979D0023","State aid, production improvement, management techniques, United Kingdom, storage cost","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-12-07",
